jenis_kelamin,usia,pendidikan,pekerjaan,penghasilan,domisili,durasi_internet,aktivitas_online_meningkat,freq_belanja_6bln,belanja_online_1,belanja_online_2,belanja_online_3,belanja_online_4,belanja_online_5,belanja_online_6,belanja_online_7,belanja_online_8,belanja_online_9,belanja_online_10,belanja_fashion,belanja_groceries,belanja_hp,belanja_laptop,belanja_elektronik,belanja_kosmetik,belanja_hobi,belanja_pulsa,belanja_makanan,belanja_pesawat,belanja_bioskop,tempat_belanja_online_1,tempat_belanja_online_2,tempat_belanja_online_3,tempat_belanja_online_4,tempat_belanja_online_5,tempat_belanja_online_6,tempat_belanja_online_7,tempat_belanja_online_8,ecommerce_1,ecommerce_2,ecommerce_3,ecommerce_4,ecommerce_5,ecommerce_6,ecommerce_7,ecommerce_8,ecommerce_9,ecommerce_10,ecommerce_11,ecommerce_12,foodDelivery,alasan_offline_1,alasan_offline_2,alasan_offline_3,alasan_offline_4,alasan_offline_5,alasan_offline_6,alasan_offline_7,bayar_online_1,bayar_online_2,bayar_online_3,bayar_online_4,bayar_online_5,bayar_online_6,bayar_online_7,bayar_online_8,keluhan_online_1,keluhan_online_2,keluhan_online_3,keluhan_online_4,keluhan_online_5,keluhan_online_6
,,,,,,,,Tetap,,,,,,,,,,,online,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,online,offline/ langsung datang ke toko fisik,online,online,online,online,offline/ langsung datang ke toko fisik,Marketplace (seperti Lazada,Jasa Layanan Delivery Online (seperti Happyfresh,,,,,,,Shopee,Gojek (GoFood,Tokopedia,,,,,,,,,,ShopeeFood,Dapat memilih barang langsung,Dapat mengecek keaslian dan kualitas Lebih aman,Langsung dapat membawa pulang barang dan menggunakannya,Sambil jalan-jalan,Tidak perlu mengeluarkan biaya pengiriman,,,melalui eMoney atau eWallet milik marketplace (seperti shopeepay,,,,,,,,,,,Jumlah barang yang diterima kurang,,
,,,,,,,,Meningkat,,Belanja fashion & mode secara online,,,,,,,,,online,,,,,,,,,,,Marketplace (seperti Lazada,,,,,,,,Shopee,,Tokopedia,,,Lazada,,,,,,,Tidak pernah menggunakan layanan Food Delivery,Dapat memilih barang langsung,,,,,,,,,Transfer ke rekening bank melalui SMS/Mobile Banking atau Internet Banking,COD (Cash on Delivery),,,,,,,,,,
,,,,,,,,Meningkat,Membeli makanan dan minuman secara online,,,,,,,,,,,,online,,,,,,,,,Marketplace (seperti Lazada,,,,,,,,Shopee,,,,,,,,,,,,GoFood,,,,,,Lebih murah,,,Transfer via Virtual Account,,,,,,,,,Pembayaran sudah dilakukan; barang tidak tersedia,,,
,,,,,,,,Tetap,,,,,,,,,,,online,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,online,online,online,online,online,online,Marketplace (seperti Lazada,Jasa Layanan Delivery Online (seperti Happyfresh,,,,,,,Shopee,,Tokopedia,Grab (GrabFood,,,,,,,,,GrabFood,Dapat memilih barang langsung,,Langsung dapat membawa pulang barang dan menggunakannya,Sambil jalan-jalan,,,,melalui eMoney atau eWallet milik marketplace (seperti shopeepay,,Transfer ke rekening bank melalui SMS/Mobile Banking atau Internet Banking,,,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs,Barang rusak/ salah tetapi tidak dapat dikembalikan,,Jumlah barang yang diterima kurang,,
,,,,,,,,Tetap,Membeli makanan dan minuman secara online,,,,,,,,,,online,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,online,online,online,online,online,online,online,Marketplace (seperti Lazada,Jasa Layanan Delivery Online (seperti Happyfresh,,,,,,,Shopee,Gojek (GoFood,,Grab (GrabFood,,,,,,,,,GoFood,Dapat memilih barang langsung,Dapat mengecek keaslian dan kualitas Lebih aman,Langsung dapat membawa pulang barang dan menggunakannya,,,,,melalui eMoney atau eWallet milik marketplace (seperti shopeepay,,Transfer ke rekening bank melalui SMS/Mobile Banking atau Internet Banking,,,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs,,,,,
,,,,,,,,Meningkat,Membeli makanan dan minuman secara online,Belanja fashion & mode secara online,,,,,,,,,online,offline/ langsung datang ke toko fisik,online,offline/ langsung datang ke toko fisik,online,online,online,online,online,online,online,Marketplace (seperti Lazada,Jasa Layanan Delivery Online (seperti Happyfresh,,Tiktok,,,,,Shopee,Gojek (GoFood,,Grab (GrabFood,,,,,,,,,GrabFood,Dapat memilih barang langsung,Dapat mengecek keaslian dan kualitas Lebih aman,Langsung dapat membawa pulang barang dan menggunakannya,Sambil jalan-jalan,Tidak perlu mengeluarkan biaya pengiriman,,,melalui eMoney atau eWallet milik marketplace (seperti shopeepay,Transfer via Virtual Account,,COD (Cash on Delivery),,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs,,,,,
,,,,,,,,Meningkat,Membeli makanan dan minuman secara online,Belanja fashion & mode secara online,,Belanja groceries / keperluan sehari-hari secara online,,Belanja buku,,,,,offline/ langsung datang ke toko fisik,online,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,,online,offline/ langsung datang ke toko fisik,online,online,online,online,Marketplace (seperti Lazada,Jasa Layanan Delivery Online (seperti Happyfresh,Website toko online Instagram,Tiktok,,,,,Shopee,Gojek (GoFood,Tokopedia,Grab (GrabFood,Traveloka,Lazada,Tiket.com,Bukalapak,,,,,GoFood,Dapat memilih barang langsung,Dapat mengecek keaslian dan kualitas Lebih aman,Langsung dapat membawa pulang barang dan menggunakannya,,Tidak perlu mengeluarkan biaya pengiriman,Lebih murah,,melalui eMoney atau eWallet milik marketplace (seperti shopeepay,,,,Transfer via ATM,,,,,,,,,Saldo eMoney/ eWallet berkurang tanpa melakukan transaksi
,,,,,,,,Meningkat,Membeli makanan dan minuman secara online,,Pembelian pulsa secara online,Belanja groceries / keperluan sehari-hari secara online,,,,,,,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,online,online,online,online,online,online,Marketplace (seperti Lazada,Jasa Layanan Delivery Online (seperti Happyfresh,,,,,,,Shopee,Gojek (GoFood,Tokopedia,,,,,,,,,,GoFood,Dapat memilih barang langsung,Dapat mengecek keaslian dan kualitas Lebih aman,,,,,,melalui eMoney atau eWallet milik marketplace (seperti shopeepay,Transfer via Virtual Account,Transfer ke rekening bank melalui SMS/Mobile Banking atau Internet Banking,,,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs,,,,,
,,,,,,,,Menurun,,,,,,,,,,,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,online,offline/ langsung datang ke toko fisik,online,online,Marketplace (seperti Lazada,,,,,,,,,,Tokopedia,,,,,,,,,,ShopeeFood,Dapat memilih barang langsung,,,,Tidak perlu mengeluarkan biaya pengiriman,,,melalui eMoney atau eWallet milik marketplace (seperti shopeepay,,Transfer ke rekening bank melalui SMS/Mobile Banking atau Internet Banking,,,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs,,,Jumlah barang yang diterima kurang,,
,,,,,,,,Meningkat,Membeli makanan dan minuman secara online,Belanja fashion & mode secara online,,,Belanja kosmetik & alat kecantikan/ perawatan badan secara online,,,,,,online,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,online,online,online,online,online,online,Marketplace (seperti Lazada,Jasa Layanan Delivery Online (seperti Happyfresh,,,Whatsapp,,,,Shopee,Gojek (GoFood,Tokopedia,,,,,,,,,,GoFood,Dapat memilih barang langsung,Dapat mengecek keaslian dan kualitas Lebih aman,,Sambil jalan-jalan,,,,,,Transfer ke rekening bank melalui SMS/Mobile Banking atau Internet Banking,,,Kartu Kredit / Debit Online,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs,Barang rusak/ salah tetapi tidak dapat dikembalikan,,,,
,,,,,,,,Tetap,,,,,,,,,,,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,online,online,online,offline/ langsung datang ke toko fisik,online,online,Marketplace (seperti Lazada,,,Tiktok,,,,,Shopee,Gojek (GoFood,,Grab (GrabFood,,,,,,,,,GrabFood,Dapat memilih barang langsung,Dapat mengecek keaslian dan kualitas Lebih aman,Langsung dapat membawa pulang barang dan menggunakannya,Sambil jalan-jalan,,,,melalui eMoney atau eWallet milik marketplace (seperti shopeepay,,,COD (Cash on Delivery),,,Melalui minimarket,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs,Barang rusak/ salah tetapi tidak dapat dikembalikan,,Jumlah barang yang diterima kurang,,
,,,,,,,,Tetap,Membeli makanan dan minuman secara online,Belanja fashion & mode secara online,,Belanja groceries / keperluan sehari-hari secara online,,,,,,,online,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,online,online,online,online,online,online,online,Marketplace (seperti Lazada,Jasa Layanan Delivery Online (seperti Happyfresh,,,Whatsapp,,,,Shopee,,Tokopedia,Grab (GrabFood,,,,,,,,,GrabFood,Dapat memilih barang langsung,Dapat mengecek keaslian dan kualitas Lebih aman,,Sambil jalan-jalan,Tidak perlu mengeluarkan biaya pengiriman,,,melalui eMoney atau eWallet milik marketplace (seperti shopeepay,Transfer via Virtual Account,Transfer ke rekening bank melalui SMS/Mobile Banking atau Internet Banking,,,Kartu Kredit / Debit Online,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs,,,Jumlah barang yang diterima kurang,,
,,,,,,,,Tetap,,,,,,,,,,,online,online,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,online,online,offline/ langsung datang ke toko fisik,online,online,online,Marketplace (seperti Lazada,Jasa Layanan Delivery Online (seperti Happyfresh,,Tiktok,,,,,Shopee,Gojek (GoFood,,Grab (GrabFood,,,,,,,,,ShopeeFood,,Dapat mengecek keaslian dan kualitas Lebih aman,Langsung dapat membawa pulang barang dan menggunakannya,,,,,melalui eMoney atau eWallet milik marketplace (seperti shopeepay,Transfer via Virtual Account,,COD (Cash on Delivery),,,Melalui minimarket,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs,Barang rusak/ salah tetapi tidak dapat dikembalikan,,Jumlah barang yang diterima kurang,,
,,,,,,,,Tetap,Membeli makanan dan minuman secara online,,Pembelian pulsa secara online,,,,,,,,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,online,online,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,,Jasa Layanan Delivery Online (seperti Happyfresh,,,,,,,,Gojek (GoFood,,Grab (GrabFood,,,,,,,,,GrabFood,Dapat memilih barang langsung,,,,,,,melalui eMoney atau eWallet milik marketplace (seperti shopeepay,,,,,,,,,,Pembayaran sudah dilakukan; barang tidak tersedia,,,
,,,,,,,,Tetap,Membeli makanan dan minuman secara online,Belanja fashion & mode secara online,Pembelian pulsa secara online,Belanja groceries / keperluan sehari-hari secara online,Belanja kosmetik & alat kecantikan/ perawatan badan secara online,Belanja buku,,,,,offline/ langsung datang ke toko fisik,online,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,online,online,online,online,online,online,Marketplace (seperti Lazada,Jasa Layanan Delivery Online (seperti Happyfresh,,Tiktok,,,,,Shopee,Gojek (GoFood,,Grab (GrabFood,,,,,,,,,GoFood,Dapat memilih barang langsung,Dapat mengecek keaslian dan kualitas Lebih aman,,Sambil jalan-jalan,,,,,Transfer via Virtual Account,Transfer ke rekening bank melalui SMS/Mobile Banking atau Internet Banking,,,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs,,,Jumlah barang yang diterima kurang,,
,,,,,,,,Tetap,,,,,,,,,,,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,online,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,online,online,Marketplace (seperti Lazada,Jasa Layanan Delivery Online (seperti Happyfresh,,,Whatsapp,,,,Shopee,Gojek (GoFood,,,Traveloka,,,,,,,,GoFood,Dapat memilih barang langsung,Dapat mengecek keaslian dan kualitas Lebih aman,,Sambil jalan-jalan,,,,,,Transfer ke rekening bank melalui SMS/Mobile Banking atau Internet Banking,COD (Cash on Delivery),,,,,,,,,,
,,,,,,,,Tetap,,,,,,,,,,,online,online,online,online,online,online,online,online,online,online,online,Marketplace (seperti Lazada,Jasa Layanan Delivery Online (seperti Happyfresh,,,,,,,Shopee,,Tokopedia,,,,,Bukalapak,,,,,GoFood,Dapat memilih barang langsung,,,,,,,,,Transfer ke rekening bank melalui SMS/Mobile Banking atau Internet Banking,,,,,,,,Pembayaran sudah dilakukan; barang tidak tersedia,,,
,,,,,,,,Tetap,,,,,,,,,,,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,online,offline/ langsung datang ke toko fisik,online,online,online,online,online,online,online,Marketplace (seperti Lazada,Jasa Layanan Delivery Online (seperti Happyfresh,,,,,,,Shopee,Gojek (GoFood,,Grab (GrabFood,Traveloka,,,,,,,,GrabFood,Dapat memilih barang langsung,Dapat mengecek keaslian dan kualitas Lebih aman,,Sambil jalan-jalan,,,,melalui eMoney atau eWallet milik marketplace (seperti shopeepay,,,,,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs,Barang rusak/ salah tetapi tidak dapat dikembalikan,,Jumlah barang yang diterima kurang,,
,,,,,,,,Tetap,,,,,,,,,,,online,offline/ langsung datang ke toko fisik,online,online,online,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,online,online,Marketplace (seperti Lazada,Jasa Layanan Delivery Online (seperti Happyfresh,,,,,,,Shopee,Gojek (GoFood,,Grab (GrabFood,,,,,,,,,GoFood,Dapat memilih barang langsung,Dapat mengecek keaslian dan kualitas Lebih aman,Langsung dapat membawa pulang barang dan menggunakannya,,Tidak perlu mengeluarkan biaya pengiriman,,,melalui eMoney atau eWallet milik marketplace (seperti shopeepay,,,COD (Cash on Delivery),,,Melalui minimarket,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs,Barang rusak/ salah tetapi tidak dapat dikembalikan,,,,
,,,,,,,,Tetap,,Belanja fashion & mode secara online,,,,,,,,,online,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,online,offline/ langsung datang ke toko fisik,online,offline/ langsung datang ke toko fisik,online,offline/ langsung datang ke toko fisik,Marketplace (seperti Lazada,,,,,,,,Shopee,Gojek (GoFood,Tokopedia,Grab (GrabFood,,,,,,,,,GoFood,,,,,Tidak perlu mengeluarkan biaya pengiriman,Lebih murah,,melalui eMoney atau eWallet milik marketplace (seperti shopeepay,Transfer via Virtual Account,Transfer ke rekening bank melalui SMS/Mobile Banking atau Internet Banking,COD (Cash on Delivery),,,,,,,,,,
,,,,,,,,Menurun,,,,,,,,,,,,,,,,,,,online,,,,Jasa Layanan Delivery Online (seperti Happyfresh,,,,,,,Shopee,,,,,,,,,,,,ShopeeFood,,,,Sambil jalan-jalan,,,,,,,COD (Cash on Delivery),,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs,,,,,
,,,,,,,,Menurun,,,,,,,,,,,offline/ langsung datang ke toko fisik,online,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,online,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,Marketplace (seperti Lazada,Jasa Layanan Delivery Online (seperti Happyfresh,,,,,,,Shopee,Gojek (GoFood,Tokopedia,,,,,,,,,,GoFood,Dapat memilih barang langsung,Dapat mengecek keaslian dan kualitas Lebih aman,,Sambil jalan-jalan,Tidak perlu mengeluarkan biaya pengiriman,,,melalui eMoney atau eWallet milik marketplace (seperti shopeepay,,Transfer ke rekening bank melalui SMS/Mobile Banking atau Internet Banking,COD (Cash on Delivery),Transfer via ATM,,Melalui minimarket,,,,Pembayaran sudah dilakukan; barang tidak tersedia,,,
,,,,,,,,Menurun,,,,,,,,,,,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,online,online,online,online,online,Marketplace (seperti Lazada,Jasa Layanan Delivery Online (seperti Happyfresh,,,,,,,Shopee,,Tokopedia,,,Lazada,,,,,,,ShopeeFood,,Dapat mengecek keaslian dan kualitas Lebih aman,,,,,,,,Transfer ke rekening bank melalui SMS/Mobile Banking atau Internet Banking,,,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs,Barang rusak/ salah tetapi tidak dapat dikembalikan,Pembayaran sudah dilakukan; barang tidak tersedia,,,
,,,,,,,,Menurun,Membeli makanan dan minuman secara online,Belanja fashion & mode secara online,Pembelian pulsa secara online,,Belanja kosmetik & alat kecantikan/ perawatan badan secara online,,,,,,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,online,offline/ langsung datang ke toko fisik,online,online,online,online,Marketplace (seperti Lazada,,,Tiktok,,,,,Shopee,,,,,Lazada,,,,,Zalora,,GrabFood,Dapat memilih barang langsung,Dapat mengecek keaslian dan kualitas Lebih aman,,,,,,,Transfer via Virtual Account,Transfer ke rekening bank melalui SMS/Mobile Banking atau Internet Banking,,,,,,,Barang rusak/ salah tetapi tidak dapat dikembalikan,,,,
,,,,,,,,Meningkat,,,,,,,Booking transportasi jarak jauh kereta api/ pesawat secara online,,,,offline/ langsung datang ke toko fisik,,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,,online,online,offline/ langsung datang ke toko fisik,online,online,Marketplace (seperti Lazada,,,,,,,,Shopee,,Tokopedia,,,,,Bukalapak,,,,,GoFood,Dapat memilih barang langsung,Dapat mengecek keaslian dan kualitas Lebih aman,,,,,,melalui eMoney atau eWallet milik marketplace (seperti shopeepay,,Transfer ke rekening bank melalui SMS/Mobile Banking atau Internet Banking,,,,,,,,,,,
,,,,,,,,Meningkat,Membeli makanan dan minuman secara online,,Pembelian pulsa secara online,Belanja groceries / keperluan sehari-hari secara online,Belanja kosmetik & alat kecantikan/ perawatan badan secara online,,Booking transportasi jarak jauh kereta api/ pesawat secara online,,,,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,online,offline/ langsung datang ke toko fisik,online,online,online,online,Marketplace (seperti Lazada,Jasa Layanan Delivery Online (seperti Happyfresh,,,,,,,Shopee,Gojek (GoFood,,Grab (GrabFood,,,,,,,,,GrabFood,Dapat memilih barang langsung,Dapat mengecek keaslian dan kualitas Lebih aman,Langsung dapat membawa pulang barang dan menggunakannya,Sambil jalan-jalan,Tidak perlu mengeluarkan biaya pengiriman,,,melalui eMoney atau eWallet milik marketplace (seperti shopeepay,Transfer via Virtual Account,,,,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs,,,,,
,,,,,,,,Meningkat,Membeli makanan dan minuman secara online,Belanja fashion & mode secara online,Pembelian pulsa secara online,,,,,,,,offline/ langsung datang ke toko fisik,online,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,online,online,online,online,online,online,Marketplace (seperti Lazada,Jasa Layanan Delivery Online (seperti Happyfresh,Website toko online Instagram,,,,,,,Gojek (GoFood,Tokopedia,Grab (GrabFood,,,,,,,,,GoFood,Dapat memilih barang langsung,Dapat mengecek keaslian dan kualitas Lebih aman,,,,,,,Transfer via Virtual Account,Transfer ke rekening bank melalui SMS/Mobile Banking atau Internet Banking,,,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs,,Pembayaran sudah dilakukan; barang tidak tersedia,,,
,,,,,,,,Tetap,,,,,,,,,,,online,,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,online,online,online,offline/ langsung datang ke toko fisik,online,online,Marketplace (seperti Lazada,,,,,,,,Shopee,,Tokopedia,,,,,,,JD.id,,,GrabFood,,Dapat mengecek keaslian dan kualitas Lebih aman,Langsung dapat membawa pulang barang dan menggunakannya,,Tidak perlu mengeluarkan biaya pengiriman,,,,,,COD (Cash on Delivery),,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs,Barang rusak/ salah tetapi tidak dapat dikembalikan,Pembayaran sudah dilakukan; barang tidak tersedia,Jumlah barang yang diterima kurang,,
,,,,,,,,Tetap,Membeli makanan dan minuman secara online,,Pembelian pulsa secara online,Belanja groceries / keperluan sehari-hari secara online,,,Booking transportasi jarak jauh kereta api/ pesawat secara online,,,,,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,online,,online,online,,,Marketplace (seperti Lazada,,,,,,,,,Gojek (GoFood,Tokopedia,,Traveloka,,,,,,,,GrabFood,Dapat memilih barang langsung,Dapat mengecek keaslian dan kualitas Lebih aman,,,,,,melalui eMoney atau eWallet milik marketplace (seperti shopeepay,,,,,Kartu Kredit / Debit Online,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs,,Pembayaran sudah dilakukan; barang tidak tersedia,,,
,,,,,,,,Tetap,,,,,,,,,,,offline/ langsung datang ke toko fisik,online,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,online,online,online,online,online,online,Marketplace (seperti Lazada,Jasa Layanan Delivery Online (seperti Happyfresh,,,,,,,Shopee,Gojek (GoFood,Tokopedia,,Traveloka,,,,,,,,GoFood,Dapat memilih barang langsung,Dapat mengecek keaslian dan kualitas Lebih aman,,Sambil jalan-jalan,,,,melalui eMoney atau eWallet milik marketplace (seperti shopeepay,Transfer via Virtual Account,,,,,,,,,Pembayaran sudah dilakukan; barang tidak tersedia,,,
,,,,,,,,Tetap,,,,,,,,,,,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,,,offline/ langsung datang ke toko fisik,online,,online,online,online,,Marketplace (seperti Lazada,Jasa Layanan Delivery Online (seperti Happyfresh,,,,,,,Shopee,Gojek (GoFood,,Grab (GrabFood,,,,,,,,,GoFood,Dapat memilih barang langsung,Dapat mengecek keaslian dan kualitas Lebih aman,Langsung dapat membawa pulang barang dan menggunakannya,Sambil jalan-jalan,Tidak perlu mengeluarkan biaya pengiriman,,,,Transfer via Virtual Account,Transfer ke rekening bank melalui SMS/Mobile Banking atau Internet Banking,,,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs,,,,,
,,,,,,,,Meningkat,Membeli makanan dan minuman secara online,,Pembelian pulsa secara online,Belanja groceries / keperluan sehari-hari secara online,Belanja kosmetik & alat kecantikan/ perawatan badan secara online,,Booking transportasi jarak jauh kereta api/ pesawat secara online,Booking Hotel secara online,,,online,online,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,online,online,online,online,online,online,Marketplace (seperti Lazada,Jasa Layanan Delivery Online (seperti Happyfresh,Website toko online Instagram,,,,,,Shopee,Gojek (GoFood,,Grab (GrabFood,,,,,,,,,ShopeeFood,Dapat memilih barang langsung,Dapat mengecek keaslian dan kualitas Lebih aman,,Sambil jalan-jalan,,,,melalui eMoney atau eWallet milik marketplace (seperti shopeepay,,Transfer ke rekening bank melalui SMS/Mobile Banking atau Internet Banking,,Transfer via ATM,,,,,,Pembayaran sudah dilakukan; barang tidak tersedia,Jumlah barang yang diterima kurang,,
,,,,,,,,Tetap,,,,,,,,,,,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,online,online,online,online,Marketplace (seperti Lazada,Jasa Layanan Delivery Online (seperti Happyfresh,,,,,,,Shopee,,Tokopedia,Grab (GrabFood,,,,,,,,,GrabFood,Dapat memilih barang langsung,Dapat mengecek keaslian dan kualitas Lebih aman,,,,,,,Transfer via Virtual Account,Transfer ke rekening bank melalui SMS/Mobile Banking atau Internet Banking,,,,,,,,,,,
,,,,,,,,Tetap,,,,,,,,,,,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,online,online,online,online,Marketplace (seperti Lazada,Jasa Layanan Delivery Online (seperti Happyfresh,,,,,,Padi UMKM,Shopee,Gojek (GoFood,,,Traveloka,,,,,,,,GoFood,Dapat memilih barang langsung,,Langsung dapat membawa pulang barang dan menggunakannya,,,,Tidak Familiar dengan aplikasi online untuk berbelanja atau memesan tiket,,Transfer via Virtual Account,,,,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs,,,,,
,,,,,,,,Menurun,,,,,,,,,,,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,online,offline/ langsung datang ke toko fisik,online,offline/ langsung datang ke toko fisik,online,online,offline/ langsung datang ke toko fisik,online,offline/ langsung datang ke toko fisik,Marketplace (seperti Lazada,Jasa Layanan Delivery Online (seperti Happyfresh,,,,,,,,Gojek (GoFood,Tokopedia,,,,,,,,,,GoFood,,Dapat mengecek keaslian dan kualitas Lebih aman,Langsung dapat membawa pulang barang dan menggunakannya,,,,,,Transfer via Virtual Account,,,,,,,,,,,,
,,,,,,,,Tetap,,,,,,,,,,,online,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,online,online,online,offline/ langsung datang ke toko fisik,online,online,Marketplace (seperti Lazada,,,,,,,,Shopee,,Tokopedia,,,,,Bukalapak,,,,,Tidak pernah menggunakan layanan Food Delivery,Dapat memilih barang langsung,Dapat mengecek keaslian dan kualitas Lebih aman,,,,,,,Transfer via Virtual Account,Transfer ke rekening bank melalui SMS/Mobile Banking atau Internet Banking,,,,,,,,Pembayaran sudah dilakukan; barang tidak tersedia,,,
